detailref;entryref;linenumber;linenumbercounter;accmainid;accmainiddesc;accsubid;accsubdesc;amount;debitcreditcode;postingdate;documenttype;doctypedesc;documentnumber;documentreference;entrynumbercounter;documentdate;paymentmethod;detailcomment;erpno;divisionno;enteredby;entereddate;entrynumber;entrycomment
913124;344712;464;172;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000021;00000000000000000000000000000334;172;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000334;00000000000000000000000000000334 numaralý iþlem
913125;344712;465;172;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000021;00000000000000000000000000000334;172;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000334;00000000000000000000000000000334 numaralý iþlem
913126;344712;466;172;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000021;00000000000000000000000000000334;172;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000334;00000000000000000000000000000334 numaralý iþlem
913127;344713;467;173;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000022;00000000000000000000000000000335;173;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000335;00000000000000000000000000000335 numaralý iþlem
913128;344713;468;173;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000022;00000000000000000000000000000335;173;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000335;00000000000000000000000000000335 numaralý iþlem
913129;344713;469;173;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000022;00000000000000000000000000000335;173;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000335;00000000000000000000000000000335 numaralý iþlem
913130;344714;470;174;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000023;00000000000000000000000000000336;174;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000336;00000000000000000000000000000336 numaralý iþlem
913131;344714;471;174;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000023;00000000000000000000000000000336;174;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000336;00000000000000000000000000000336 numaralý iþlem
913132;344714;472;174;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000023;00000000000000000000000000000336;174;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000336;00000000000000000000000000000336 numaralý iþlem
913133;344715;473;175;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000024;00000000000000000000000000000337;175;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000337;00000000000000000000000000000337 numaralý iþlem
913134;344715;474;175;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000024;00000000000000000000000000000337;175;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000337;00000000000000000000000000000337 numaralý iþlem
913135;344715;475;175;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000024;00000000000000000000000000000337;175;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000337;00000000000000000000000000000337 numaralý iþlem
913136;344716;476;176;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000025;00000000000000000000000000000338;176;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000338;00000000000000000000000000000338 numaralý iþlem
913137;344716;477;176;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000025;00000000000000000000000000000338;176;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000338;00000000000000000000000000000338 numaralý iþlem
913138;344716;478;176;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000025;00000000000000000000000000000338;176;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000338;00000000000000000000000000000338 numaralý iþlem
913139;344717;479;177;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000026;00000000000000000000000000000339;177;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000339;00000000000000000000000000000339 numaralý iþlem
913140;344717;480;177;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000026;00000000000000000000000000000339;177;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000339;00000000000000000000000000000339 numaralý iþlem
913141;344717;481;177;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000026;00000000000000000000000000000339;177;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000339;00000000000000000000000000000339 numaralý iþlem
913142;344718;482;178;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000027;00000000000000000000000000000340;178;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000340;00000000000000000000000000000340 numaralý iþlem
913143;344718;483;178;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000027;00000000000000000000000000000340;178;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000340;00000000000000000000000000000340 numaralý iþlem
913144;344718;484;178;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000027;00000000000000000000000000000340;178;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000340;00000000000000000000000000000340 numaralý iþlem
913145;344719;485;179;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000028;00000000000000000000000000000341;179;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000341;00000000000000000000000000000341 numaralý iþlem
913146;344719;486;179;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000028;00000000000000000000000000000341;179;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000341;00000000000000000000000000000341 numaralý iþlem
913147;344719;487;179;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000028;00000000000000000000000000000341;179;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000341;00000000000000000000000000000341 numaralý iþlem
913148;344720;488;180;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000029;00000000000000000000000000000342;180;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000342;00000000000000000000000000000342 numaralý iþlem
913149;344720;489;180;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000029;00000000000000000000000000000342;180;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000342;00000000000000000000000000000342 numaralý iþlem
913150;344720;490;180;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000029;00000000000000000000000000000342;180;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000342;00000000000000000000000000000342 numaralý iþlem
913151;344721;491;181;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000030;00000000000000000000000000000343;181;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000343;00000000000000000000000000000343 numaralý iþlem
913152;344721;492;181;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000030;00000000000000000000000000000343;181;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000343;00000000000000000000000000000343 numaralý iþlem
913153;344721;493;181;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000030;00000000000000000000000000000343;181;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000343;00000000000000000000000000000343 numaralý iþlem
913154;344722;494;182;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000031;00000000000000000000000000000344;182;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000344;00000000000000000000000000000344 numaralý iþlem
913155;344722;495;182;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000031;00000000000000000000000000000344;182;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000344;00000000000000000000000000000344 numaralý iþlem
913156;344722;496;182;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000031;00000000000000000000000000000344;182;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000344;00000000000000000000000000000344 numaralý iþlem
913157;344723;497;183;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000032;00000000000000000000000000000345;183;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000345;00000000000000000000000000000345 numaralý iþlem
913158;344723;498;183;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000032;00000000000000000000000000000345;183;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000345;00000000000000000000000000000345 numaralý iþlem
913159;344723;499;183;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000032;00000000000000000000000000000345;183;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000345;00000000000000000000000000000345 numaralý iþlem
913160;344724;500;184;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000033;00000000000000000000000000000346;184;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000346;00000000000000000000000000000346 numaralý iþlem
913161;344724;501;184;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000033;00000000000000000000000000000346;184;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000346;00000000000000000000000000000346 numaralý iþlem
913162;344724;502;184;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000033;00000000000000000000000000000346;184;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000346;00000000000000000000000000000346 numaralý iþlem
913163;344725;503;185;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000034;00000000000000000000000000000347;185;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000347;00000000000000000000000000000347 numaralý iþlem
913164;344725;504;185;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000034;00000000000000000000000000000347;185;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000347;00000000000000000000000000000347 numaralý iþlem
913165;344725;505;185;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000034;00000000000000000000000000000347;185;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000347;00000000000000000000000000000347 numaralý iþlem
913166;344726;506;186;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000035;00000000000000000000000000000348;186;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000348;00000000000000000000000000000348 numaralý iþlem
913167;344726;507;186;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000035;00000000000000000000000000000348;186;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000348;00000000000000000000000000000348 numaralý iþlem
913168;344726;508;186;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000035;00000000000000000000000000000348;186;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000348;00000000000000000000000000000348 numaralý iþlem
913169;344727;509;187;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000036;00000000000000000000000000000349;187;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000349;00000000000000000000000000000349 numaralý iþlem
913170;344727;510;187;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000036;00000000000000000000000000000349;187;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000349;00000000000000000000000000000349 numaralý iþlem
913171;344727;511;187;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000036;00000000000000000000000000000349;187;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000349;00000000000000000000000000000349 numaralý iþlem
913172;344728;512;188;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000037;00000000000000000000000000000350;188;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000350;00000000000000000000000000000350 numaralý iþlem
913173;344728;513;188;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000037;00000000000000000000000000000350;188;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000350;00000000000000000000000000000350 numaralý iþlem
913174;344728;514;188;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000037;00000000000000000000000000000350;188;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000350;00000000000000000000000000000350 numaralý iþlem
913175;344729;515;189;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000038;00000000000000000000000000000351;189;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000351;00000000000000000000000000000351 numaralý iþlem
913176;344729;516;189;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000038;00000000000000000000000000000351;189;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000351;00000000000000000000000000000351 numaralý iþlem
913177;344729;517;189;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000038;00000000000000000000000000000351;189;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000351;00000000000000000000000000000351 numaralý iþlem
913178;344730;518;190;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000039;00000000000000000000000000000352;190;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000352;00000000000000000000000000000352 numaralý iþlem
913179;344730;519;190;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000039;00000000000000000000000000000352;190;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000352;00000000000000000000000000000352 numaralý iþlem
913180;344730;520;190;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000039;00000000000000000000000000000352;190;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000352;00000000000000000000000000000352 numaralý iþlem
913181;344731;521;191;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000040;00000000000000000000000000000353;191;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000353;00000000000000000000000000000353 numaralý iþlem
913182;344731;522;191;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000040;00000000000000000000000000000353;191;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000353;00000000000000000000000000000353 numaralý iþlem
913183;344731;523;191;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000040;00000000000000000000000000000353;191;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000353;00000000000000000000000000000353 numaralý iþlem
913184;344732;524;192;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000041;00000000000000000000000000000354;192;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000354;00000000000000000000000000000354 numaralý iþlem
913185;344732;525;192;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000041;00000000000000000000000000000354;192;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000354;00000000000000000000000000000354 numaralý iþlem
913186;344732;526;192;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000041;00000000000000000000000000000354;192;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000354;00000000000000000000000000000354 numaralý iþlem
913187;344733;527;193;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000042;00000000000000000000000000000355;193;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000355;00000000000000000000000000000355 numaralý iþlem
913188;344733;528;193;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000042;00000000000000000000000000000355;193;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000355;00000000000000000000000000000355 numaralý iþlem
913189;344733;529;193;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000042;00000000000000000000000000000355;193;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000355;00000000000000000000000000000355 numaralý iþlem
913190;344734;530;194;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000043;00000000000000000000000000000356;194;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000356;00000000000000000000000000000356 numaralý iþlem
913191;344734;531;194;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000043;00000000000000000000000000000356;194;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000356;00000000000000000000000000000356 numaralý iþlem
913192;344734;532;194;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000043;00000000000000000000000000000356;194;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000356;00000000000000000000000000000356 numaralý iþlem
913193;344735;533;195;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000044;00000000000000000000000000000357;195;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000357;00000000000000000000000000000357 numaralý iþlem
913194;344735;534;195;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000044;00000000000000000000000000000357;195;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000357;00000000000000000000000000000357 numaralý iþlem
913195;344735;535;195;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000044;00000000000000000000000000000357;195;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000357;00000000000000000000000000000357 numaralý iþlem
913196;344736;536;196;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000045;00000000000000000000000000000358;196;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000358;00000000000000000000000000000358 numaralý iþlem
913197;344736;537;196;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000045;00000000000000000000000000000358;196;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000358;00000000000000000000000000000358 numaralý iþlem
913198;344736;538;196;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000045;00000000000000000000000000000358;196;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000358;00000000000000000000000000000358 numaralý iþlem
913199;344737;539;197;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000046;00000000000000000000000000000359;197;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000359;00000000000000000000000000000359 numaralý iþlem
913200;344737;540;197;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000046;00000000000000000000000000000359;197;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000359;00000000000000000000000000000359 numaralý iþlem
913201;344737;541;197;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000046;00000000000000000000000000000359;197;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000359;00000000000000000000000000000359 numaralý iþlem
913202;344738;542;198;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000047;00000000000000000000000000000360;198;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000360;00000000000000000000000000000360 numaralý iþlem
913203;344738;543;198;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000047;00000000000000000000000000000360;198;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000360;00000000000000000000000000000360 numaralý iþlem
913204;344738;544;198;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000047;00000000000000000000000000000360;198;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000360;00000000000000000000000000000360 numaralý iþlem
913205;344739;545;199;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000048;00000000000000000000000000000361;199;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000361;00000000000000000000000000000361 numaralý iþlem
913206;344739;546;199;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000048;00000000000000000000000000000361;199;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000361;00000000000000000000000000000361 numaralý iþlem
913207;344739;547;199;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000048;00000000000000000000000000000361;199;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000361;00000000000000000000000000000361 numaralý iþlem
913208;344740;548;200;153;TÝCARÝ MALLAR;153.01;MALZEME 1;1000;D;2013-01-02;invoice;NULL;000049;00000000000000000000000000000362;200;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000362;00000000000000000000000000000362 numaralý iþlem
913209;344740;549;200;191;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;191.01;ÝNDÝRÝLECEK KATMA DEÐER VERGÝSÝ;180;D;2013-01-02;invoice;NULL;000049;00000000000000000000000000000362;200;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000362;00000000000000000000000000000362 numaralý iþlem
913210;344740;550;200;320;SATICILAR;320.01;SATICILAR 1;1180;C;2013-01-02;invoice;NULL;000049;00000000000000000000000000000362;200;2013-01-02;NULL;;00101;0;H.A.;2013-01-02;00000000000000000000000000000362;00000000000000000000000000000362 numaralý iþlem
913211;344741;551;201;101;ALINAN ÇEKLER;101.01;ALINAN ÇEKLER;1000;D;2013-01-02;check;NULL;CEK000000;00000000000000000000000000000363;201;2013-01-02;Çek;;00101;0;H.A.;2013-01-02;00000000000000000000000000000363;00000000000000000000000000000363 numaralý iþlem
913212;344741;552;201;120;ALICILAR;120.01;ALICI A;1000;C;2013-01-02;check;NULL;CEK000000;00000000000000000000000000000363;201;2013-01-02;Çek;;00101;0;H.A.;2013-01-02;00000000000000000000000000000363;00000000000000000000000000000363 numaralý iþlem
913213;344742;553;202;101;ALINAN ÇEKLER;101.01;ALINAN ÇEKLER;1000;D;2013-01-02;check;NULL;CEK000001;00000000000000000000000000000364;202;2013-01-02;Çek;;00101;0;H.A.;2013-01-02;00000000000000000000000000000364;00000000000000000000000000000364 numaralý iþlem
913214;344742;554;202;120;ALICILAR;120.01;ALICI A;1000;C;2013-01-02;check;NULL;CEK000001;00000000000000000000000000000364;202;2013-01-02;Çek;;00101;0;H.A.;2013-01-02;00000000000000000000000000000364;00000000000000000000000000000364 numaralý iþlem
913215;344743;555;203;101;ALINAN ÇEKLER;101.01;ALINAN ÇEKLER;1000;D;2013-01-02;check;NULL;CEK000002;00000000000000000000000000000365;203;2013-01-02;Çek;;00101;0;H.A.;2013-01-02;00000000000000000000000000000365;00000000000000000000000000000365 numaralý iþlem
913216;344743;556;203;120;ALICILAR;120.01;ALICI A;1000;C;2013-01-02;check;NULL;CEK000002;00000000000000000000000000000365;203;2013-01-02;Çek;;00101;0;H.A.;2013-01-02;00000000000000000000000000000365;00000000000000000000000000000365 numaralý iþlem
